trans_id,date,store_id,product_id,customer_id,quantity,total_revenue,cost,gross_profit,shipping_cost,marketing_cost,net_profit
34,2024-04-03,6,120,611,2,3000.0,2058.0,942.0,100.0,81.34,760.66
35,2025-10-11,4,125,273,2,9000.0,6172.0,2828.0,752.0,88.71,1987.29
36,2025-09-27,1,133,216,1,45000.0,32905.0,12095.0,50.0,1418.11,10626.89
37,2023-06-26,5,137,80,5,11000.0,7110.0,3890.0,1880.0,477.41,1532.59
38,2023-10-04,3,118,785,2,7000.0,4946.0,2054.0,2010.0,121.47,-77.47
39,2025-06-23,3,133,471,1,45000.0,32905.0,12095.0,1005.0,1115.0,9975.0
40,2025-03-13,3,134,602,1,28000.0,17855.0,10145.0,499.0,509.33,9136.67
41,2025-02-22,11,137,530,3,6600.0,4266.0,2334.0,1128.0,279.97,926.03
42,2024-08-10,10,115,1168,1,230000.0,161913.0,68087.0,499.0,0.0,67588.0
43,2024-01-20,5,109,831,1,42000.0,31127.0,10873.0,1005.0,297.55,9570.45
44,2023-01-08,3,119,1154,1,2800.0,1695.0,1105.0,376.0,42.78,686.22
45,2024-08-30,6,119,957,2,5600.0,3390.0,2210.0,752.0,0.0,1458.0
46,2025-11-09,6,120,121,1,1500.0,1029.0,471.0,1005.0,28.92,-562.92
47,2024-12-21,2,113,383,1,58000.0,37157.0,20843.0,1005.0,1077.61,18760.39
48,2024-01-11,6,125,281,1,4500.0,3086.0,1414.0,1005.0,30.22,378.78
49,2025-01-04,1,121,936,1,800.0,526.0,274.0,1005.0,9.45,-740.45
50,2025-01-31,4,118,38,2,7000.0,4946.0,2054.0,752.0,82.73,1219.27
51,2023-08-21,6,137,571,1,2200.0,1422.0,778.0,376.0,67.2,334.8
52,2025-05-21,3,126,269,1,24000.0,17991.0,6009.0,376.0,246.3,5386.7
53,2024-01-19,9,118,120,2,7000.0,4946.0,2054.0,100.0,0.0,1954.0
54,2024-07-03,11,134,261,1,28000.0,17855.0,10145.0,376.0,816.7,8952.3
55,2023-03-13,8,104,956,1,310000.0,196558.0,113442.0,376.0,2134.95,110931.05
56,2025-02-21,3,136,110,5,12500.0,8030.0,4470.0,250.0,530.24,3689.76
57,2025-03-08,1,127,185,1,9500.0,6907.0,2593.0,376.0,64.84,2152.16
58,2024-12-10,8,137,866,2,4400.0,2844.0,1556.0,752.0,191.83,612.17
59,2024-06-09,3,110,852,1,24000.0,15039.0,8961.0,1005.0,202.98,7753.02
60,2024-01-11,4,111,296,1,185000.0,117065.0,67935.0,50.0,0.0,67885.0
61,2025-07-30,2,133,1156,1,45000.0,32905.0,12095.0,50.0,1109.46,10935.54
62,2024-02-20,5,120,854,3,4500.0,3087.0,1413.0,3015.0,123.3,-1725.3
63,2023-07-05,1,121,327,3,2400.0,1578.0,822.0,3015.0,0.0,-2193.0
64,2025-07-05,1,133,700,1,45000.0,32905.0,12095.0,376.0,1109.46,10609.54
65,2023-04-21,4,137,962,1,2200.0,1422.0,778.0,1005.0,69.92,-296.92
66,2025-10-10,4,121,624,1,800.0,526.0,274.0,1005.0,0.0,-731.0
67,2024-01-11,2,118,367,5,17500.0,12365.0,5135.0,2495.0,0.0,2640.0
68,2023-11-24,1,113,826,1,58000.0,37157.0,20843.0,499.0,1269.03,19074.97
69,2024-11-24,10,120,227,1,1500.0,1029.0,471.0,499.0,38.59,-66.59
70,2024-06-11,4,126,746,1,24000.0,17991.0,6009.0,376.0,147.15,5485.85
71,2023-12-10,10,118,968,1,3500.0,2473.0,1027.0,376.0,91.97,559.03
72,2023-02-26,8,129,1017,1,68000.0,46007.0,21993.0,376.0,762.59,20854.41
73,2024-07-19,5,119,181,2,5600.0,3390.0,2210.0,998.0,85.92,1126.08
74,2025-06-30,5,104,704,1,310000.0,196558.0,113442.0,376.0,2614.02,110451.98
75,2025-06-28,2,120,413,1,1500.0,1029.0,471.0,376.0,29.28,65.72
76,2024-06-08,9,118,51,5,17500.0,12365.0,5135.0,1880.0,247.03,3007.97
77,2025-01-21,3,137,700,2,4400.0,2844.0,1556.0,752.0,175.33,628.67
78,2024-04-30,7,125,699,3,13500.0,9258.0,4242.0,150.0,83.41,4008.59
79,2023-11-06,1,121,238,3,2400.0,1578.0,822.0,1128.0,52.51,-358.51
80,2024-06-16,1,137,782,1,2200.0,1422.0,778.0,499.0,70.6,208.4
81,2023-03-11,5,118,423,1,3500.0,2473.0,1027.0,499.0,51.85,476.15
82,2025-10-25,5,129,400,1,68000.0,46007.0,21993.0,1005.0,335.67,20652.33
83,2024-05-01,2,121,547,1,800.0,526.0,274.0,499.0,7.86,-232.86
84,2023-07-04,2,119,1157,2,5600.0,3390.0,2210.0,2010.0,0.0,200.0
85,2025-08-26,1,118,954,1,3500.0,2473.0,1027.0,499.0,62.42,465.58
86,2023-08-25,3,120,557,1,1500.0,1029.0,471.0,1005.0,44.4,-578.4
87,2023-01-08,12,112,90,1,38000.0,25796.0,12204.0,376.0,580.6,11247.4
88,2024-06-08,2,121,558,2,1600.0,1052.0,548.0,100.0,22.59,425.41
89,2024-10-20,3,121,390,1,800.0,526.0,274.0,1005.0,17.42,-748.42
90,2024-06-25,8,119,551,3,8400.0,5085.0,3315.0,3015.0,118.57,181.43
91,2025-09-05,12,118,452,2,7000.0,4946.0,2054.0,998.0,102.2,953.8
92,2023-08-06,4,130,655,1,130000.0,83075.0,46925.0,50.0,872.87,46002.13
93,2025-05-15,2,120,355,2,3000.0,2058.0,942.0,752.0,29.41,160.59
94,2024-01-02,7,113,470,1,58000.0,37157.0,20843.0,376.0,0.0,20467.0
95,2025-07-21,4,136,583,2,5000.0,3212.0,1788.0,752.0,123.27,912.73
96,2024-07-21,7,137,1013,1,2200.0,1422.0,778.0,1005.0,64.17,-291.17
97,2023-12-03,1,125,430,3,13500.0,9258.0,4242.0,150.0,164.09,3927.91
98,2023-09-07,3,126,490,1,24000.0,17991.0,6009.0,376.0,228.91,5404.09
99,2024-08-13,3,137,505,2,4400.0,2844.0,1556.0,752.0,116.74,687.26
100,2024-10-05,1,109,711,1,42000.0,31127.0,10873.0,376.0,174.4,10322.6
101,2025-06-24,3,124,452,1,48000.0,33033.0,14967.0,499.0,252.84,14215.16
102,2024-11-11,1,124,47,1,48000.0,33033.0,14967.0,376.0,785.71,13805.29
103,2024-02-11,1,113,928,1,58000.0,37157.0,20843.0,50.0,1589.18,19203.82
104,2025-07-03,4,123,929,1,9500.0,7113.0,2387.0,376.0,45.55,1965.45
105,2025-08-01,3,120,999,1,1500.0,1029.0,471.0,50.0,26.75,394.25
106,2023-04-06,7,137,766,3,6600.0,4266.0,2334.0,3015.0,209.77,-890.77
107,2023-07-29,1,119,298,1,2800.0,1695.0,1105.0,50.0,0.0,1055.0
108,2023-08-08,7,118,799,2,7000.0,4946.0,2054.0,752.0,207.21,1094.79
109,2025-03-30,7,125,1021,2,9000.0,6172.0,2828.0,998.0,61.43,1768.57
110,2023-09-26,3,121,1190,1,800.0,526.0,274.0,499.0,11.55,-236.55
111,2025-11-29,5,125,542,3,13500.0,9258.0,4242.0,1128.0,136.69,2977.31
112,2023-10-05,5,136,914,3,7500.0,4818.0,2682.0,3015.0,201.86,-534.86
113,2024-11-21,2,108,107,1,48000.0,31082.0,16918.0,50.0,599.42,16268.58
114,2025-12-05,9,120,1028,2,3000.0,2058.0,942.0,752.0,66.09,123.91
115,2024-05-26,2,135,949,1,12000.0,8606.0,3394.0,1005.0,247.8,2141.2
116,2024-12-12,2,137,103,2,4400.0,2844.0,1556.0,752.0,191.83,612.17
117,2025-04-16,5,136,685,3,7500.0,4818.0,2682.0,1128.0,361.34,1192.66
118,2023-05-29,1,118,639,1,3500.0,2473.0,1027.0,50.0,38.35,938.65
119,2023-12-02,5,121,694,1,800.0,526.0,274.0,376.0,21.02,-123.02
120,2023-05-09,7,133,7,1,45000.0,32905.0,12095.0,376.0,2067.34,9651.66
121,2024-08-11,8,119,924,2,5600.0,3390.0,2210.0,100.0,0.0,2110.0
122,2024-01-23,1,136,857,2,5000.0,3212.0,1788.0,752.0,186.05,849.95
123,2023-09-06,1,126,717,1,24000.0,17991.0,6009.0,499.0,228.91,5281.09
124,2024-12-19,1,112,505,1,38000.0,25796.0,12204.0,376.0,706.02,11121.98
125,2023-12-31,6,125,750,2,9000.0,6172.0,2828.0,752.0,109.39,1966.61
126,2024-06-23,6,120,448,3,4500.0,3087.0,1413.0,1128.0,63.52,221.48
127,2025-01-15,2,119,215,1,2800.0,1695.0,1105.0,1005.0,33.09,66.91
128,2025-12-10,1,126,808,1,24000.0,17991.0,6009.0,376.0,187.22,5445.78
129,2024-10-06,1,120,572,3,4500.0,3087.0,1413.0,1128.0,97.98,187.02
130,2023-09-22,1,118,161,3,10500.0,7419.0,3081.0,1128.0,151.6,1801.4
131,2025-05-31,1,133,826,1,45000.0,32905.0,12095.0,499.0,1636.53,9959.47
132,2024-03-19,5,118,984,5,17500.0,12365.0,5135.0,1880.0,347.79,2907.21
133,2024-06-06,1,113,828,1,58000.0,37157.0,20843.0,376.0,818.73,19648.27
134,2024-08-23,1,119,77,2,5600.0,3390.0,2210.0,2010.0,0.0,200.0
135,2025-05-03,4,121,833,3,2400.0,1578.0,822.0,3015.0,23.53,-2216.53
136,2024-06-29,10,112,297,1,38000.0,25796.0,12204.0,1005.0,536.41,10662.59
137,2025-03-19,6,118,442,1,3500.0,2473.0,1027.0,376.0,28.8,622.2
138,2023-07-10,6,109,165,1,42000.0,31127.0,10873.0,376.0,373.52,10123.48
139,2024-05-05,6,110,1092,1,24000.0,15039.0,8961.0,499.0,266.58,8195.42
140,2025-07-18,3,137,577,3,6600.0,4266.0,2334.0,1497.0,162.72,674.28
141,2025-05-31,10,125,276,3,13500.0,9258.0,4242.0,1128.0,138.55,2975.45
142,2024-03-26,5,136,525,1,2500.0,1606.0,894.0,50.0,83.29,760.71
143,2023-02-26,1,137,526,2,4400.0,2844.0,1556.0,998.0,157.18,400.82
144,2025-11-23,4,136,393,3,7500.0,4818.0,2682.0,150.0,247.11,2284.89
145,2023-05-14,1,114,644,1,75000.0,53367.0,21633.0,376.0,821.77,20435.23
146,2025-01-07,10,119,641,5,14000.0,8475.0,5525.0,5025.0,165.46,334.54
147,2024-12-27,1,118,755,1,3500.0,2473.0,1027.0,376.0,65.03,585.97
148,2025-06-15,2,108,586,1,48000.0,31082.0,16918.0,50.0,404.75,16463.25
149,2024-12-26,1,102,507,1,195000.0,141052.0,53948.0,50.0,1510.17,52387.83
150,2023-12-31,11,136,262,2,5000.0,3212.0,1788.0,752.0,157.8,878.2
151,2025-05-31,9,135,1059,1,12000.0,8606.0,3394.0,499.0,436.41,2458.59
152,2024-03-04,8,120,1080,1,1500.0,1029.0,471.0,376.0,29.81,65.19
153,2024-07-04,1,120,62,1,1500.0,1029.0,471.0,499.0,23.01,-51.01
154,2023-11-16,3,123,484,1,9500.0,7113.0,2387.0,376.0,150.41,1860.59
155,2023-02-07,8,136,1042,1,2500.0,1606.0,894.0,376.0,89.31,428.69
156,2023-07-22,1,119,1065,1,2800.0,1695.0,1105.0,1005.0,0.0,100.0
157,2025-05-27,2,137,541,1,2200.0,1422.0,778.0,376.0,80.01,321.99
158,2023-11-14,4,101,934,1,260000.0,167880.0,92120.0,376.0,2358.1,89385.9
159,2023-12-20,1,128,208,1,58000.0,37743.0,20257.0,499.0,591.17,19166.83
160,2025-06-04,2,119,535,2,5600.0,3390.0,2210.0,752.0,109.3,1348.7
161,2023-07-25,3,108,1129,1,48000.0,31082.0,16918.0,376.0,426.88,16115.12
162,2024-07-01,3,112,415,1,38000.0,25796.0,12204.0,376.0,583.01,11244.99
163,2025-02-02,2,137,210,3,6600.0,4266.0,2334.0,1497.0,279.97,557.03
164,2023-09-30,6,137,1098,5,11000.0,7110.0,3890.0,5025.0,288.83,-1423.83
165,2023-04-24,1,136,909,2,5000.0,3212.0,1788.0,752.0,158.92,877.08
166,2025-03-07,6,137,234,3,6600.0,4266.0,2334.0,1128.0,120.06,1085.94
167,2025-10-28,1,119,844,3,8400.0,5085.0,3315.0,1128.0,0.0,2187.0
168,2024-09-29,2,113,373,1,58000.0,37157.0,20843.0,499.0,862.21,19481.79
169,2025-11-29,1,121,1161,1,800.0,526.0,274.0,1005.0,15.43,-746.43
170,2024-06-17,3,134,579,1,28000.0,17855.0,10145.0,376.0,898.56,8870.44
171,2025-03-27,1,121,1005,1,800.0,526.0,274.0,376.0,6.58,-108.58
172,2024-09-11,3,113,483,1,58000.0,37157.0,20843.0,499.0,862.21,19481.79
173,2024-06-24,3,136,388,5,12500.0,8030.0,4470.0,5025.0,401.14,-956.14
174,2025-08-23,11,100,63,1,125000.0,87901.0,37099.0,499.0,838.56,35761.44
175,2023-04-10,2,120,755,2,3000.0,2058.0,942.0,752.0,68.22,121.78
176,2024-03-09,1,132,266,1,38000.0,23961.0,14039.0,1005.0,1265.98,11768.02
177,2023-02-16,4,106,939,1,320000.0,198987.0,121013.0,499.0,3283.94,117230.06
178,2023-10-11,1,119,323,1,2800.0,1695.0,1105.0,376.0,48.59,680.41
179,2023-12-28,2,111,20,1,185000.0,117065.0,67935.0,1005.0,4861.29,62068.71
180,2023-01-31,4,125,324,3,13500.0,9258.0,4242.0,150.0,143.78,3948.22
181,2025-06-24,3,137,1070,2,4400.0,2844.0,1556.0,752.0,109.02,694.98
182,2023-07-13,6,113,801,1,58000.0,37157.0,20843.0,1005.0,0.0,19838.0
183,2023-02-09,7,118,736,1,3500.0,2473.0,1027.0,50.0,73.26,903.74
184,2024-02-10,1,112,37,1,38000.0,25796.0,12204.0,376.0,1041.18,10786.82
185,2025-10-02,6,133,670,1,45000.0,32905.0,12095.0,376.0,1628.78,10090.22
186,2023-02-05,5,120,1087,5,7500.0,5145.0,2355.0,1880.0,156.98,318.02
187,2023-10-22,1,121,407,1,800.0,526.0,274.0,50.0,13.88,210.12
188,2024-02-14,2,136,964,5,12500.0,8030.0,4470.0,5025.0,440.95,-995.95
189,2024-10-04,2,121,652,2,1600.0,1052.0,548.0,100.0,34.84,413.16
190,2024-07-19,3,118,1069,1,3500.0,2473.0,1027.0,499.0,53.7,474.3
191,2023-07-12,1,136,828,1,2500.0,1606.0,894.0,376.0,100.84,417.16
192,2025-11-08,3,134,843,1,28000.0,17855.0,10145.0,376.0,922.53,8846.47
193,2023-09-10,9,128,889,1,58000.0,37743.0,20257.0,499.0,244.64,19513.36
194,2023-08-07,1,107,624,1,65000.0,40453.0,24547.0,1005.0,459.22,23082.78
195,2024-09-24,6,137,731,3,6600.0,4266.0,2334.0,1128.0,215.27,990.73
196,2025-12-12,7,127,1123,1,9500.0,6907.0,2593.0,376.0,74.11,2142.89
197,2025-04-15,4,127,448,1,9500.0,6907.0,2593.0,376.0,80.95,2136.05
198,2023-08-06,5,118,547,1,3500.0,2473.0,1027.0,499.0,103.6,424.4
199,2023-12-31,1,120,108,2,3000.0,2058.0,942.0,752.0,78.83,111.17
200,2025-11-16,5,119,134,1,2800.0,1695.0,1105.0,376.0,53.99,675.01
201,2025-04-24,5,118,732,2,7000.0,4946.0,2054.0,998.0,85.8,970.2
202,2025-08-07,5,118,460,2,7000.0,4946.0,2054.0,752.0,124.84,1177.16
203,2025-02-09,9,125,536,1,4500.0,3086.0,1414.0,376.0,0.0,1038.0
204,2023-10-29,11,121,437,1,800.0,526.0,274.0,499.0,13.88,-238.88
205,2024-08-04,10,110,543,1,24000.0,15039.0,8961.0,499.0,180.47,8281.53
206,2023-03-25,1,132,136,1,38000.0,23961.0,14039.0,376.0,1703.59,11959.41
207,2025-01-29,11,121,1096,1,800.0,526.0,274.0,376.0,9.45,-111.45
208,2023-02-10,3,119,243,1,2800.0,1695.0,1105.0,376.0,58.61,670.39
209,2023-08-06,6,121,45,1,800.0,526.0,274.0,50.0,23.68,200.32
210,2025-09-11,6,126,171,1,24000.0,17991.0,6009.0,1005.0,225.46,4778.54
211,2023-10-28,1,106,769,1,320000.0,198987.0,121013.0,376.0,2297.72,118339.28
212,2023-06-14,2,119,249,1,2800.0,1695.0,1105.0,376.0,33.75,695.25
213,2024-12-13,5,121,160,3,2400.0,1578.0,822.0,1128.0,44.59,-350.59
214,2023-01-28,5,119,420,2,5600.0,3390.0,2210.0,2010.0,85.56,114.44
215,2023-06-20,3,137,616,3,6600.0,4266.0,2334.0,3015.0,286.45,-967.45
216,2025-07-19,3,118,862,1,3500.0,2473.0,1027.0,50.0,84.11,892.89
217,2024-10-28,2,124,1195,1,48000.0,33033.0,14967.0,499.0,348.28,14119.72
218,2023-02-08,6,125,381,1,4500.0,3086.0,1414.0,50.0,22.34,1341.66
219,2024-03-30,2,137,203,1,2200.0,1422.0,778.0,1005.0,73.29,-300.29
220,2023-11-07,9,119,806,1,2800.0,1695.0,1105.0,1005.0,61.26,38.74
221,2024-02-29,1,137,975,1,2200.0,1422.0,778.0,376.0,77.61,324.39
222,2025-11-10,6,125,56,2,9000.0,6172.0,2828.0,752.0,91.12,1984.88
223,2023-02-21,8,134,1175,1,28000.0,17855.0,10145.0,376.0,1000.23,8768.77
224,2025-08-08,4,134,1172,1,28000.0,17855.0,10145.0,376.0,0.0,9769.0
225,2023-02-14,2,128,166,1,58000.0,37743.0,20257.0,376.0,650.44,19230.56
226,2023-01-14,4,124,110,1,48000.0,33033.0,14967.0,50.0,511.2,14405.8
227,2023-12-19,3,110,696,1,24000.0,15039.0,8961.0,376.0,125.97,8459.03
228,2024-06-05,7,112,679,1,38000.0,25796.0,12204.0,499.0,536.41,11168.59
229,2025-10-16,2,119,593,1,2800.0,1695.0,1105.0,50.0,0.0,1055.0
230,2023-10-03,7,127,852,1,9500.0,6907.0,2593.0,1005.0,75.2,1512.8
231,2023-01-09,1,137,591,3,6600.0,4266.0,2334.0,3015.0,357.95,-1038.95
232,2024-12-01,6,119,443,1,2800.0,1695.0,1105.0,499.0,52.02,553.98
233,2023-02-21,2,118,169,1,3500.0,2473.0,1027.0,376.0,73.26,577.74
234,2024-08-21,8,125,259,3,13500.0,9258.0,4242.0,3015.0,133.47,1093.53
235,2024-06-05,1,131,552,1,360000.0,218747.0,141253.0,1005.0,1704.58,138543.42
236,2025-11-17,1,130,882,1,130000.0,83075.0,46925.0,499.0,1883.19,44542.81
237,2024-07-31,12,118,225,1,3500.0,2473.0,1027.0,376.0,53.7,597.3
238,2023-05-20,4,134,806,1,28000.0,17855.0,10145.0,1005.0,1286.35,7853.65
239,2023-01-31,1,118,688,1,3500.0,2473.0,1027.0,376.0,53.48,597.52
240,2023-09-04,5,106,12,1,320000.0,198987.0,121013.0,376.0,2036.5,118600.5
241,2023-08-26,6,133,705,1,45000.0,32905.0,12095.0,376.0,1374.54,10344.46
242,2024-01-15,9,136,364,2,5000.0,3212.0,1788.0,2010.0,186.05,-408.05
243,2023-10-09,3,136,323,5,12500.0,8030.0,4470.0,1880.0,336.43,2253.57
244,2024-03-20,4,111,743,1,185000.0,117065.0,67935.0,50.0,3676.65,64208.35
245,2024-02-03,3,136,808,5,12500.0,8030.0,4470.0,1880.0,440.95,2149.05
246,2024-05-01,11,122,869,1,68000.0,43059.0,24941.0,376.0,0.0,24565.0
247,2023-03-23,1,129,887,1,68000.0,46007.0,21993.0,1005.0,475.97,20512.03
248,2023-09-16,7,131,677,1,360000.0,218747.0,141253.0,50.0,1518.48,139684.52
249,2024-07-17,8,112,663,1,38000.0,25796.0,12204.0,1005.0,583.01,10615.99
250,2024-12-28,1,131,1145,1,360000.0,218747.0,141253.0,376.0,2957.66,137919.34
251,2025-10-05,1,121,736,2,1600.0,1052.0,548.0,100.0,0.0,448.0
252,2025-12-10,7,126,991,1,24000.0,17991.0,6009.0,376.0,187.22,5445.78
253,2024-12-23,2,111,543,1,185000.0,117065.0,67935.0,499.0,3437.2,63998.8
254,2025-10-27,1,120,134,2,3000.0,2058.0,942.0,752.0,0.0,190.0
255,2024-07-08,2,120,107,2,3000.0,2058.0,942.0,100.0,46.03,795.97
256,2023-02-25,8,133,715,1,45000.0,32905.0,12095.0,499.0,1607.51,9988.49
257,2023-06-12,4,125,134,3,13500.0,9258.0,4242.0,1128.0,98.66,3015.34
258,2024-02-07,5,137,54,5,11000.0,7110.0,3890.0,1880.0,388.04,1621.96
259,2025-03-17,2,121,10,1,800.0,526.0,274.0,1005.0,6.58,-737.58
260,2023-11-03,2,119,532,5,14000.0,8475.0,5525.0,250.0,306.32,4968.68
261,2025-09-10,5,118,290,5,17500.0,12365.0,5135.0,1880.0,255.51,2999.49
262,2025-12-21,2,120,1080,3,4500.0,3087.0,1413.0,1128.0,99.14,185.86
263,2024-03-29,2,137,447,2,4400.0,2844.0,1556.0,752.0,146.59,657.41
264,2024-11-17,4,134,922,1,28000.0,17855.0,10145.0,376.0,0.0,9769.0
265,2023-05-23,2,113,1184,1,58000.0,37157.0,20843.0,1005.0,635.5,19202.5
266,2023-03-29,11,125,449,2,9000.0,6172.0,2828.0,2010.0,57.39,760.61
267,2025-08-03,2,120,1016,2,3000.0,2058.0,942.0,100.0,53.5,788.5
268,2025-07-23,1,130,241,1,130000.0,83075.0,46925.0,376.0,650.29,45898.71
269,2024-04-09,10,124,948,1,48000.0,33033.0,14967.0,376.0,296.56,14294.44
270,2024-12-31,3,126,632,1,24000.0,17991.0,6009.0,376.0,134.63,5498.37
271,2023-09-30,5,121,737,2,1600.0,1052.0,548.0,2010.0,23.1,-1485.1
272,2025-05-25,8,119,1128,3,8400.0,5085.0,3315.0,150.0,82.36,3082.64
273,2024-12-07,5,119,315,2,5600.0,3390.0,2210.0,2010.0,104.05,95.95
274,2024-12-05,7,137,1041,1,2200.0,1422.0,778.0,1005.0,95.91,-322.91
275,2023-02-08,6,118,1136,1,3500.0,2473.0,1027.0,376.0,73.26,577.74
276,2024-09-04,8,104,463,1,310000.0,196558.0,113442.0,499.0,1352.89,111590.11
277,2025-06-11,4,114,1135,1,75000.0,53367.0,21633.0,376.0,1463.79,19793.21
278,2023-12-12,9,118,176,2,7000.0,4946.0,2054.0,100.0,183.94,1770.06
279,2023-08-19,5,105,255,1,85000.0,52017.0,32983.0,499.0,600.52,31883.48
280,2023-06-28,3,121,461,2,1600.0,1052.0,548.0,998.0,19.28,-469.28
281,2025-12-28,8,123,1069,1,9500.0,7113.0,2387.0,499.0,74.11,1813.89
282,2025-04-03,6,137,895,3,6600.0,4266.0,2334.0,1497.0,317.98,519.02
283,2024-01-13,5,115,809,1,230000.0,161913.0,68087.0,1005.0,0.0,67082.0
284,2023-09-02,6,136,1123,2,5000.0,3212.0,1788.0,752.0,131.29,904.71
285,2024-12-22,3,119,1129,1,2800.0,1695.0,1105.0,376.0,52.02,676.98
286,2024-03-08,7,123,818,1,9500.0,7113.0,2387.0,376.0,87.83,1923.17
287,2023-03-20,3,136,722,5,12500.0,8030.0,4470.0,2495.0,560.39,1414.61
288,2025-08-18,1,117,715,1,290000.0,209699.0,80301.0,499.0,5171.91,74630.09
289,2024-03-03,3,121,1158,1,800.0,526.0,274.0,1005.0,15.9,-746.9
290,2023-09-22,10,136,365,3,7500.0,4818.0,2682.0,3015.0,196.93,-529.93
291,2023-08-05,10,121,1147,1,800.0,526.0,274.0,50.0,23.68,200.32
292,2025-05-10,1,137,835,3,6600.0,4266.0,2334.0,1128.0,240.02,965.98
293,2024-02-05,4,120,380,1,1500.0,1029.0,471.0,376.0,41.1,53.9
294,2023-02-20,8,125,205,2,9000.0,6172.0,2828.0,752.0,44.68,2031.32
295,2024-01-12,1,121,379,1,800.0,526.0,274.0,50.0,0.0,224.0
296,2023-11-23,6,136,1104,3,7500.0,4818.0,2682.0,150.0,391.54,2140.46
297,2024-06-10,4,129,463,1,68000.0,46007.0,21993.0,499.0,321.98,21172.02
298,2025-12-22,12,121,387,2,1600.0,1052.0,548.0,752.0,35.25,-239.25
299,2025-11-01,4,119,1036,2,5600.0,3390.0,2210.0,100.0,107.98,2002.02
300,2024-06-16,4,132,579,1,38000.0,23961.0,14039.0,376.0,1219.47,12443.53
301,2024-07-23,1,115,207,1,230000.0,161913.0,68087.0,1005.0,3528.75,63553.25
302,2025-08-29,3,113,1089,1,58000.0,37157.0,20843.0,376.0,1034.38,19432.62
303,2023-09-04,1,137,33,2,4400.0,2844.0,1556.0,752.0,115.53,688.47
304,2024-05-24,5,121,709,1,800.0,526.0,274.0,1005.0,7.86,-738.86
305,2025-05-23,2,121,785,2,1600.0,1052.0,548.0,2010.0,15.69,-1477.69
306,2024-11-24,6,136,1145,2,5000.0,3212.0,1788.0,752.0,0.0,1036.0
307,2023-10-30,2,125,790,2,9000.0,6172.0,2828.0,752.0,71.24,2004.76
308,2024-11-13,2,125,1054,3,13500.0,9258.0,4242.0,1128.0,220.98,2893.02
