Review_ID,Product_ID,Customer_ID,Rating,Review_Text
49,P136,C0572,4,Nice design but a bit expensive.
50,P129,C0734,5,"Excellent product, highly recommended!"
51,P100,C0805,3,"It is okay, nothing special."
52,P118,C0020,4,"Good, but shipping was a bit slow to Guelma."
53,P132,C0032,5,"Excellent product, highly recommended!"
54,P123,C0190,3,"It is okay, nothing special."
55,P134,C1194,4,"Works well, satisfied with the purchase."
56,P134,C0752,5,Amazing quality for the price. Fast delivery.
57,P137,C0094,4,Nice design but a bit expensive.
58,P115,C0671,5,"Excellent product, highly recommended!"
59,P112,C1069,1,"Terrible, do not buy this! Very bad quality."
60,P137,C0765,4,"Works well, satisfied with the purchase."
61,P127,C0129,4,Nice design but a bit expensive.
62,P118,C0400,5,"Excellent product, highly recommended!"
63,P128,C0308,1,"Terrible, do not buy this! Very bad quality."
64,P109,C0971,5,"Perfect, works exactly as described. Thanks TechStore."
65,P108,C1199,4,Nice design but a bit expensive.
66,P126,C0476,2,"Not good, stopped working after a week."
67,P124,C0528,3,"Average, expected better battery life."
68,P104,C1171,3,"Average, expected better battery life."
69,P121,C0183,4,Nice design but a bit expensive.
70,P109,C0876,4,"Works well, satisfied with the purchase."
71,P108,C0193,1,"Terrible, do not buy this! Very bad quality."
72,P112,C0616,1,"Waste of money, totally disappointed."
73,P106,C0447,5,Amazing quality for the price. Fast delivery.
74,P129,C0748,5,"Excellent product, highly recommended!"
75,P107,C1106,2,"Not good, stopped working after a week."
76,P135,C1039,4,"Works well, satisfied with the purchase."
77,P113,C0876,5,"Excellent product, highly recommended!"
78,P116,C0722,4,"Works well, satisfied with the purchase."
79,P126,C1059,5,"Perfect, works exactly as described. Thanks TechStore."
80,P134,C0420,3,"It is okay, nothing special."
81,P134,C0223,2,"Not good, stopped working after a week."
82,P116,C0717,3,"It is okay, nothing special."
83,P113,C0181,4,"Good, but shipping was a bit slow to Guelma."
84,P129,C0631,4,"Works well, satisfied with the purchase."
85,P129,C0906,4,Nice design but a bit expensive.
86,P113,C1111,4,"Works well, satisfied with the purchase."
87,P117,C1200,1,"Waste of money, totally disappointed."
88,P117,C0661,4,"Works well, satisfied with the purchase."
89,P103,C0041,3,"Average, expected better battery life."
90,P119,C0278,4,"Works well, satisfied with the purchase."
91,P102,C0251,4,Nice design but a bit expensive.
92,P120,C0985,5,Amazing quality for the price. Fast delivery.
93,P130,C0216,5,"Excellent product, highly recommended!"
94,P100,C1039,5,"Perfect, works exactly as described. Thanks TechStore."
95,P108,C0589,4,"Good, but shipping was a bit slow to Guelma."
96,P101,C1130,3,"It is okay, nothing special."
97,P125,C1059,1,"Terrible, do not buy this! Very bad quality."
98,P123,C0384,5,"Perfect, works exactly as described. Thanks TechStore."
99,P130,C0375,3,"Average, expected better battery life."
100,P134,C0682,3,"Average, expected better battery life."
101,P135,C0720,4,Nice design but a bit expensive.
102,P132,C0830,4,"Works well, satisfied with the purchase."
103,P112,C1062,3,"Average, expected better battery life."
104,P101,C0710,4,"Good, but shipping was a bit slow to Guelma."
105,P115,C0046,4,"Good, but shipping was a bit slow to Guelma."
106,P135,C0446,3,"Average, expected better battery life."
107,P113,C0575,4,"Works well, satisfied with the purchase."
108,P126,C0020,4,"Works well, satisfied with the purchase."
109,P103,C0489,1,"Waste of money, totally disappointed."
110,P134,C0470,1,"Terrible, do not buy this! Very bad quality."
111,P111,C0916,3,"It is okay, nothing special."
112,P127,C1048,2,"Not good, stopped working after a week."
113,P120,C1100,1,"Terrible, do not buy this! Very bad quality."
114,P119,C0375,1,"Terrible, do not buy this! Very bad quality."
115,P119,C0807,5,Amazing quality for the price. Fast delivery.
116,P137,C0065,5,"Perfect, works exactly as described. Thanks TechStore."
117,P118,C1097,5,"Excellent product, highly recommended!"
118,P102,C0778,5,"Excellent product, highly recommended!"
119,P133,C0144,5,Amazing quality for the price. Fast delivery.
120,P128,C0245,5,"Excellent product, highly recommended!"
121,P114,C1040,2,"Not good, stopped working after a week."
122,P132,C0656,4,"Works well, satisfied with the purchase."
123,P120,C0185,4,"Good, but shipping was a bit slow to Guelma."
124,P127,C0258,4,"Works well, satisfied with the purchase."
125,P113,C0652,2,"Not good, stopped working after a week."
126,P101,C0025,1,"Waste of money, totally disappointed."
127,P137,C0640,2,"Not good, stopped working after a week."
128,P106,C0987,5,"Excellent product, highly recommended!"
129,P136,C0937,1,"Waste of money, totally disappointed."
130,P129,C0529,5,"Perfect, works exactly as described. Thanks TechStore."
131,P132,C0412,5,Amazing quality for the price. Fast delivery.
132,P126,C0964,5,Amazing quality for the price. Fast delivery.
133,P114,C0007,3,"Average, expected better battery life."
134,P135,C0127,5,"Excellent product, highly recommended!"
135,P109,C0699,1,"Terrible, do not buy this! Very bad quality."
136,P135,C0681,3,"It is okay, nothing special."
137,P134,C0732,3,"It is okay, nothing special."
138,P131,C0820,4,"Works well, satisfied with the purchase."
139,P114,C0433,2,"Not good, stopped working after a week."
140,P136,C0527,5,"Perfect, works exactly as described. Thanks TechStore."
141,P135,C1057,1,"Waste of money, totally disappointed."
142,P124,C0633,1,"Terrible, do not buy this! Very bad quality."
143,P107,C0021,1,"Waste of money, totally disappointed."
144,P119,C1072,1,"Waste of money, totally disappointed."
145,P101,C0385,3,"Average, expected better battery life."
146,P115,C0062,5,"Perfect, works exactly as described. Thanks TechStore."
147,P135,C1052,4,"Works well, satisfied with the purchase."
148,P132,C1125,5,"Excellent product, highly recommended!"
149,P124,C1130,5,"Perfect, works exactly as described. Thanks TechStore."
150,P116,C0145,4,Nice design but a bit expensive.
151,P119,C0179,1,"Terrible, do not buy this! Very bad quality."
152,P103,C0710,3,"Average, expected better battery life."
153,P101,C0306,4,"Works well, satisfied with the purchase."
154,P128,C1176,2,"Not good, stopped working after a week."
155,P112,C0435,4,"Works well, satisfied with the purchase."
156,P101,C0012,3,"Average, expected better battery life."
157,P103,C1020,5,"Excellent product, highly recommended!"
158,P121,C1159,3,"Average, expected better battery life."
159,P104,C0304,5,"Perfect, works exactly as described. Thanks TechStore."
160,P127,C1049,5,"Excellent product, highly recommended!"
161,P103,C0545,5,Amazing quality for the price. Fast delivery.
162,P100,C0626,4,"Works well, satisfied with the purchase."
163,P106,C0086,5,"Perfect, works exactly as described. Thanks TechStore."
164,P110,C0474,5,Amazing quality for the price. Fast delivery.
165,P108,C0138,4,"Good, but shipping was a bit slow to Guelma."
166,P117,C0021,5,"Excellent product, highly recommended!"
167,P101,C0259,1,"Waste of money, totally disappointed."
168,P113,C1170,4,Nice design but a bit expensive.
169,P120,C0708,4,"Good, but shipping was a bit slow to Guelma."
170,P124,C1170,5,"Perfect, works exactly as described. Thanks TechStore."
171,P112,C0790,5,"Excellent product, highly recommended!"
172,P111,C0880,1,"Terrible, do not buy this! Very bad quality."
173,P115,C1042,3,"It is okay, nothing special."
174,P102,C0934,5,"Perfect, works exactly as described. Thanks TechStore."
175,P107,C0380,1,"Waste of money, totally disappointed."
176,P102,C0406,5,"Perfect, works exactly as described. Thanks TechStore."
177,P126,C0031,4,Nice design but a bit expensive.
178,P129,C0258,2,"Not good, stopped working after a week."
179,P133,C0425,5,"Excellent product, highly recommended!"
180,P130,C0135,2,"Not good, stopped working after a week."
181,P109,C0839,4,"Good, but shipping was a bit slow to Guelma."
182,P136,C0171,4,"Good, but shipping was a bit slow to Guelma."
183,P111,C0368,5,Amazing quality for the price. Fast delivery.
184,P118,C0597,1,"Terrible, do not buy this! Very bad quality."
185,P104,C0982,1,"Waste of money, totally disappointed."
186,P106,C0635,1,"Terrible, do not buy this! Very bad quality."
187,P123,C0912,5,Amazing quality for the price. Fast delivery.
188,P120,C0586,1,"Terrible, do not buy this! Very bad quality."
189,P122,C0364,2,"Not good, stopped working after a week."
190,P136,C0476,4,Nice design but a bit expensive.
191,P103,C1182,1,"Terrible, do not buy this! Very bad quality."
192,P117,C0745,5,"Perfect, works exactly as described. Thanks TechStore."
193,P126,C0241,4,Nice design but a bit expensive.
194,P119,C0211,4,Nice design but a bit expensive.
195,P131,C0780,4,Nice design but a bit expensive.
196,P118,C0740,3,"It is okay, nothing special."
197,P116,C0011,5,"Excellent product, highly recommended!"
198,P134,C0807,3,"It is okay, nothing special."
199,P123,C0537,3,"It is okay, nothing special."
200,P110,C0613,5,Amazing quality for the price. Fast delivery.
201,P101,C0188,4,Nice design but a bit expensive.
202,P103,C0736,4,"Good, but shipping was a bit slow to Guelma."
203,P129,C0931,5,"Perfect, works exactly as described. Thanks TechStore."
204,P129,C1140,2,"Not good, stopped working after a week."
205,P108,C1192,1,"Terrible, do not buy this! Very bad quality."
206,P135,C0958,5,"Excellent product, highly recommended!"
207,P137,C0604,1,"Waste of money, totally disappointed."
208,P108,C0182,3,"Average, expected better battery life."
209,P133,C0759,4,"Works well, satisfied with the purchase."
210,P105,C0218,3,"It is okay, nothing special."
211,P129,C1174,5,"Excellent product, highly recommended!"
212,P101,C0660,4,Nice design but a bit expensive.
213,P110,C0564,4,"Good, but shipping was a bit slow to Guelma."
214,P115,C0669,1,"Waste of money, totally disappointed."
215,P122,C1122,3,"Average, expected better battery life."
216,P101,C0593,2,"Not good, stopped working after a week."
217,P125,C1141,1,"Terrible, do not buy this! Very bad quality."
218,P120,C0807,1,"Terrible, do not buy this! Very bad quality."
219,P133,C0274,4,"Good, but shipping was a bit slow to Guelma."
220,P103,C1011,3,"Average, expected better battery life."
221,P118,C1197,5,Amazing quality for the price. Fast delivery.
222,P125,C0199,3,"It is okay, nothing special."
223,P127,C0325,4,"Good, but shipping was a bit slow to Guelma."
224,P131,C0860,2,"Not good, stopped working after a week."
225,P110,C0295,4,"Good, but shipping was a bit slow to Guelma."
226,P104,C0821,1,"Waste of money, totally disappointed."
227,P122,C0306,5,"Perfect, works exactly as described. Thanks TechStore."
228,P110,C0726,4,Nice design but a bit expensive.
229,P103,C0878,2,"Not good, stopped working after a week."
230,P123,C0421,4,"Good, but shipping was a bit slow to Guelma."
231,P102,C0073,4,"Good, but shipping was a bit slow to Guelma."
232,P100,C0904,3,"Average, expected better battery life."
233,P137,C0676,3,"It is okay, nothing special."
234,P106,C0095,5,"Perfect, works exactly as described. Thanks TechStore."
235,P100,C0884,5,"Excellent product, highly recommended!"
236,P119,C0857,4,"Good, but shipping was a bit slow to Guelma."
237,P118,C0951,5,Amazing quality for the price. Fast delivery.
238,P134,C0084,1,"Terrible, do not buy this! Very bad quality."
239,P128,C0212,1,"Waste of money, totally disappointed."
240,P119,C0014,2,"Not good, stopped working after a week."
241,P136,C0373,5,"Perfect, works exactly as described. Thanks TechStore."
242,P116,C0340,3,"It is okay, nothing special."
243,P110,C0199,2,"Not good, stopped working after a week."
244,P136,C1111,4,Nice design but a bit expensive.
245,P126,C0840,5,"Perfect, works exactly as described. Thanks TechStore."
246,P115,C0761,4,"Works well, satisfied with the purchase."
247,P119,C0714,1,"Terrible, do not buy this! Very bad quality."
248,P101,C0238,4,Nice design but a bit expensive.
249,P103,C0332,5,"Perfect, works exactly as described. Thanks TechStore."
250,P126,C0037,1,"Terrible, do not buy this! Very bad quality."
251,P117,C0002,2,"Not good, stopped working after a week."
252,P117,C0943,1,"Terrible, do not buy this! Very bad quality."
253,P127,C0459,4,"Works well, satisfied with the purchase."
254,P126,C1125,4,"Good, but shipping was a bit slow to Guelma."
255,P108,C0318,2,"Not good, stopped working after a week."
256,P118,C0119,5,Amazing quality for the price. Fast delivery.
257,P117,C1096,4,"Works well, satisfied with the purchase."
258,P111,C0236,3,"It is okay, nothing special."
259,P129,C0823,2,"Not good, stopped working after a week."
260,P113,C0274,3,"Average, expected better battery life."
261,P134,C1052,1,"Waste of money, totally disappointed."
262,P131,C0520,5,"Perfect, works exactly as described. Thanks TechStore."
263,P122,C0336,4,"Works well, satisfied with the purchase."
264,P112,C1166,3,"Average, expected better battery life."
265,P124,C0286,5,Amazing quality for the price. Fast delivery.
266,P100,C0588,4,"Good, but shipping was a bit slow to Guelma."
267,P118,C0120,3,"Average, expected better battery life."
268,P118,C0364,5,"Excellent product, highly recommended!"
269,P121,C0252,1,"Terrible, do not buy this! Very bad quality."
270,P124,C0462,5,Amazing quality for the price. Fast delivery.
271,P122,C0041,3,"Average, expected better battery life."
272,P112,C0275,5,"Perfect, works exactly as described. Thanks TechStore."
273,P125,C0962,3,"Average, expected better battery life."
274,P110,C0520,4,"Good, but shipping was a bit slow to Guelma."
275,P129,C0651,1,"Waste of money, totally disappointed."
276,P111,C1040,1,"Terrible, do not buy this! Very bad quality."
277,P121,C0169,1,"Terrible, do not buy this! Very bad quality."
278,P130,C0329,4,"Works well, satisfied with the purchase."
279,P119,C1064,1,"Waste of money, totally disappointed."
280,P109,C0475,5,Amazing quality for the price. Fast delivery.
281,P130,C0448,4,"Good, but shipping was a bit slow to Guelma."
282,P112,C0042,4,Nice design but a bit expensive.
283,P118,C0890,1,"Waste of money, totally disappointed."
284,P102,C0067,3,"It is okay, nothing special."
285,P127,C0535,5,"Perfect, works exactly as described. Thanks TechStore."
286,P118,C0014,5,"Excellent product, highly recommended!"
287,P109,C0404,5,"Excellent product, highly recommended!"
288,P114,C0477,1,"Terrible, do not buy this! Very bad quality."
289,P131,C0809,5,Amazing quality for the price. Fast delivery.
290,P137,C0612,5,"Perfect, works exactly as described. Thanks TechStore."
291,P114,C0517,5,Amazing quality for the price. Fast delivery.
292,P107,C0713,4,Nice design but a bit expensive.
293,P125,C0848,5,Amazing quality for the price. Fast delivery.
294,P112,C0458,1,"Waste of money, totally disappointed."
295,P109,C0980,1,"Terrible, do not buy this! Very bad quality."
296,P100,C0427,5,"Excellent product, highly recommended!"
297,P114,C0535,5,"Excellent product, highly recommended!"
298,P103,C0028,2,"Not good, stopped working after a week."
299,P115,C0687,4,Nice design but a bit expensive.
300,P130,C0753,5,"Perfect, works exactly as described. Thanks TechStore."
301,P106,C0099,2,"Not good, stopped working after a week."
302,P130,C0085,4,Nice design but a bit expensive.
303,P112,C0426,3,"Average, expected better battery life."
304,P105,C0856,5,Amazing quality for the price. Fast delivery.
305,P120,C0400,5,"Excellent product, highly recommended!"
306,P131,C0149,5,"Excellent product, highly recommended!"
307,P132,C0831,5,"Excellent product, highly recommended!"
308,P132,C0814,1,"Terrible, do not buy this! Very bad quality."
309,P128,C0343,1,"Waste of money, totally disappointed."
310,P108,C0994,3,"Average, expected better battery life."
311,P128,C0052,4,Nice design but a bit expensive.
312,P100,C0816,4,Nice design but a bit expensive.
313,P123,C0355,5,"Perfect, works exactly as described. Thanks TechStore."
314,P108,C1092,2,"Not good, stopped working after a week."
315,P127,C1192,5,"Perfect, works exactly as described. Thanks TechStore."
316,P133,C0037,4,"Works well, satisfied with the purchase."
317,P136,C0702,4,Nice design but a bit expensive.
318,P109,C0533,2,"Not good, stopped working after a week."
319,P136,C0915,4,"Works well, satisfied with the purchase."
320,P109,C0845,3,"Average, expected better battery life."
321,P116,C0745,5,"Perfect, works exactly as described. Thanks TechStore."
322,P123,C0470,1,"Terrible, do not buy this! Very bad quality."
323,P121,C0440,4,"Works well, satisfied with the purchase."
324,P115,C1104,2,"Not good, stopped working after a week."
325,P118,C0947,3,"It is okay, nothing special."
326,P133,C1013,1,"Waste of money, totally disappointed."
327,P134,C0844,1,"Waste of money, totally disappointed."
328,P125,C0437,4,Nice design but a bit expensive.
329,P132,C0968,2,"Not good, stopped working after a week."
330,P137,C0120,4,Nice design but a bit expensive.
331,P116,C0108,4,"Works well, satisfied with the purchase."
332,P137,C0428,5,"Excellent product, highly recommended!"
333,P131,C0632,1,"Waste of money, totally disappointed."
334,P103,C0617,5,Amazing quality for the price. Fast delivery.
335,P122,C0115,4,Nice design but a bit expensive.
336,P136,C1018,4,Nice design but a bit expensive.
337,P107,C0781,3,"It is okay, nothing special."
338,P124,C0859,5,"Excellent product, highly recommended!"
339,P130,C0532,5,"Perfect, works exactly as described. Thanks TechStore."
340,P119,C0089,3,"It is okay, nothing special."
341,P109,C0244,5,"Excellent product, highly recommended!"
342,P112,C0677,1,"Terrible, do not buy this! Very bad quality."
343,P124,C0817,1,"Waste of money, totally disappointed."
344,P123,C0021,2,"Not good, stopped working after a week."
345,P124,C0283,1,"Terrible, do not buy this! Very bad quality."
346,P120,C1085,3,"It is okay, nothing special."
347,P137,C0917,5,Amazing quality for the price. Fast delivery.
348,P132,C0579,1,"Waste of money, totally disappointed."
349,P100,C0319,3,"It is okay, nothing special."
350,P115,C0876,5,"Perfect, works exactly as described. Thanks TechStore."
351,P103,C1068,1,"Waste of money, totally disappointed."
352,P132,C1156,2,"Not good, stopped working after a week."
353,P123,C0236,1,"Waste of money, totally disappointed."
354,P136,C0881,4,"Works well, satisfied with the purchase."
355,P132,C0447,1,"Waste of money, totally disappointed."
356,P119,C0583,4,"Good, but shipping was a bit slow to Guelma."
357,P137,C1144,1,"Terrible, do not buy this! Very bad quality."
358,P101,C1168,1,"Waste of money, totally disappointed."
359,P134,C1103,4,"Works well, satisfied with the purchase."
360,P131,C0682,1,"Terrible, do not buy this! Very bad quality."
361,P112,C0596,5,"Excellent product, highly recommended!"
362,P119,C0618,5,Amazing quality for the price. Fast delivery.
363,P136,C0232,3,"Average, expected better battery life."
364,P133,C0372,4,"Good, but shipping was a bit slow to Guelma."
365,P126,C0652,2,"Not good, stopped working after a week."
366,P114,C0479,2,"Not good, stopped working after a week."
367,P125,C0589,4,"Works well, satisfied with the purchase."
368,P100,C0162,5,Amazing quality for the price. Fast delivery.
369,P103,C0692,4,"Works well, satisfied with the purchase."
370,P102,C0770,3,"It is okay, nothing special."
371,P134,C0528,4,Nice design but a bit expensive.
372,P136,C1174,1,"Terrible, do not buy this! Very bad quality."
373,P116,C1127,2,"Not good, stopped working after a week."
374,P122,C0041,5,"Excellent product, highly recommended!"
375,P120,C0767,2,"Not good, stopped working after a week."
376,P136,C1117,1,"Waste of money, totally disappointed."
377,P123,C0674,3,"Average, expected better battery life."
378,P104,C0284,1,"Waste of money, totally disappointed."
379,P125,C0438,3,"Average, expected better battery life."
380,P117,C1059,5,"Perfect, works exactly as described. Thanks TechStore."
381,P102,C0533,5,Amazing quality for the price. Fast delivery.
382,P122,C0928,4,"Works well, satisfied with the purchase."
383,P108,C1168,4,Nice design but a bit expensive.
384,P104,C0700,2,"Not good, stopped working after a week."
385,P136,C0448,2,"Not good, stopped working after a week."
386,P107,C0491,5,"Excellent product, highly recommended!"
387,P136,C0713,3,"It is okay, nothing special."
388,P115,C0025,5,Amazing quality for the price. Fast delivery.
389,P133,C0563,2,"Not good, stopped working after a week."
390,P112,C0877,5,"Perfect, works exactly as described. Thanks TechStore."
391,P117,C0545,5,"Excellent product, highly recommended!"
392,P111,C0803,5,"Perfect, works exactly as described. Thanks TechStore."
393,P110,C0017,5,Amazing quality for the price. Fast delivery.
394,P110,C1109,5,"Perfect, works exactly as described. Thanks TechStore."
395,P132,C1180,5,Amazing quality for the price. Fast delivery.
396,P122,C0547,5,"Perfect, works exactly as described. Thanks TechStore."
397,P109,C0150,4,"Good, but shipping was a bit slow to Guelma."
398,P133,C0070,4,Nice design but a bit expensive.
399,P125,C0405,1,"Waste of money, totally disappointed."
400,P136,C1026,2,"Not good, stopped working after a week."
401,P106,C0638,1,"Terrible, do not buy this! Very bad quality."
402,P114,C0406,1,"Waste of money, totally disappointed."
403,P106,C0832,4,Nice design but a bit expensive.
404,P125,C1118,3,"Average, expected better battery life."
405,P134,C0076,4,"Good, but shipping was a bit slow to Guelma."
406,P101,C0548,5,Amazing quality for the price. Fast delivery.
407,P134,C0371,5,Amazing quality for the price. Fast delivery.
408,P118,C0519,1,"Waste of money, totally disappointed."
409,P137,C0468,4,"Good, but shipping was a bit slow to Guelma."
410,P114,C1183,3,"It is okay, nothing special."
411,P112,C0448,4,"Works well, satisfied with the purchase."
412,P133,C0212,2,"Not good, stopped working after a week."
413,P121,C0099,5,"Perfect, works exactly as described. Thanks TechStore."
414,P132,C0970,5,"Excellent product, highly recommended!"
415,P127,C0823,4,Nice design but a bit expensive.
416,P122,C0220,4,"Good, but shipping was a bit slow to Guelma."
417,P104,C0432,4,Nice design but a bit expensive.
418,P126,C0478,1,"Waste of money, totally disappointed."
419,P123,C0535,1,"Waste of money, totally disappointed."
420,P123,C0929,5,"Perfect, works exactly as described. Thanks TechStore."
421,P130,C0918,3,"It is okay, nothing special."
422,P130,C1172,5,"Excellent product, highly recommended!"
423,P122,C0525,3,"Average, expected better battery life."
424,P113,C0524,5,"Perfect, works exactly as described. Thanks TechStore."
425,P115,C0529,4,Nice design but a bit expensive.
426,P106,C0024,5,"Perfect, works exactly as described. Thanks TechStore."
427,P100,C0084,4,"Good, but shipping was a bit slow to Guelma."
428,P127,C0139,4,"Good, but shipping was a bit slow to Guelma."
429,P107,C0165,2,"Not good, stopped working after a week."
430,P118,C0298,2,"Not good, stopped working after a week."
431,P111,C0403,1,"Terrible, do not buy this! Very bad quality."
432,P137,C0676,4,"Works well, satisfied with the purchase."
433,P112,C0523,1,"Terrible, do not buy this! Very bad quality."
434,P107,C0680,4,"Good, but shipping was a bit slow to Guelma."
435,P130,C0730,5,Amazing quality for the price. Fast delivery.
436,P103,C0869,5,"Excellent product, highly recommended!"
437,P125,C1030,3,"It is okay, nothing special."
438,P130,C1094,4,"Works well, satisfied with the purchase."
439,P110,C0658,5,"Perfect, works exactly as described. Thanks TechStore."
440,P108,C1129,2,"Not good, stopped working after a week."
441,P131,C0050,5,"Perfect, works exactly as described. Thanks TechStore."
442,P121,C0548,1,"Terrible, do not buy this! Very bad quality."
443,P120,C0365,2,"Not good, stopped working after a week."
444,P125,C0955,5,Amazing quality for the price. Fast delivery.
445,P129,C0676,3,"It is okay, nothing special."
446,P116,C1093,5,"Excellent product, highly recommended!"
447,P134,C0221,4,Nice design but a bit expensive.
448,P103,C0355,1,"Terrible, do not buy this! Very bad quality."
449,P129,C0218,1,"Waste of money, totally disappointed."
450,P120,C1013,4,Nice design but a bit expensive.
451,P119,C0477,4,"Good, but shipping was a bit slow to Guelma."
452,P117,C0825,2,"Not good, stopped working after a week."
453,P108,C0352,5,"Excellent product, highly recommended!"
454,P100,C0696,4,Nice design but a bit expensive.
455,P114,C0258,5,"Excellent product, highly recommended!"
456,P107,C1013,4,"Good, but shipping was a bit slow to Guelma."
457,P100,C0995,3,"It is okay, nothing special."
458,P104,C0447,5,"Perfect, works exactly as described. Thanks TechStore."
459,P123,C0139,4,"Good, but shipping was a bit slow to Guelma."
460,P118,C0207,3,"It is okay, nothing special."
461,P112,C0716,5,Amazing quality for the price. Fast delivery.
462,P132,C0789,1,"Terrible, do not buy this! Very bad quality."
463,P102,C0566,4,"Good, but shipping was a bit slow to Guelma."
464,P130,C0204,5,"Excellent product, highly recommended!"
465,P113,C1005,1,"Terrible, do not buy this! Very bad quality."
466,P136,C0215,5,"Excellent product, highly recommended!"
467,P127,C1038,5,"Excellent product, highly recommended!"
468,P112,C1171,3,"It is okay, nothing special."
469,P135,C0830,5,Amazing quality for the price. Fast delivery.
470,P131,C0510,5,"Perfect, works exactly as described. Thanks TechStore."
471,P118,C0173,1,"Waste of money, totally disappointed."
472,P119,C1077,3,"Average, expected better battery life."
473,P125,C0488,3,"Average, expected better battery life."
474,P132,C0272,2,"Not good, stopped working after a week."
475,P123,C0790,4,"Good, but shipping was a bit slow to Guelma."
476,P117,C0053,1,"Waste of money, totally disappointed."
477,P136,C0265,4,Nice design but a bit expensive.
478,P134,C0466,1,"Waste of money, totally disappointed."
479,P112,C0781,2,"Not good, stopped working after a week."
480,P101,C0972,4,"Good, but shipping was a bit slow to Guelma."
481,P133,C0022,5,Amazing quality for the price. Fast delivery.
482,P111,C0780,4,"Works well, satisfied with the purchase."
483,P104,C0114,4,"Works well, satisfied with the purchase."
484,P135,C0354,3,"It is okay, nothing special."
485,P127,C0640,4,"Works well, satisfied with the purchase."
486,P133,C0251,5,"Perfect, works exactly as described. Thanks TechStore."
487,P124,C0068,4,"Good, but shipping was a bit slow to Guelma."
488,P117,C0944,2,"Not good, stopped working after a week."
489,P133,C1152,4,"Works well, satisfied with the purchase."
490,P122,C0214,4,"Good, but shipping was a bit slow to Guelma."
491,P112,C0159,5,Amazing quality for the price. Fast delivery.
492,P116,C0336,4,Nice design but a bit expensive.
493,P120,C1066,5,"Perfect, works exactly as described. Thanks TechStore."
494,P108,C0925,5,Amazing quality for the price. Fast delivery.
495,P107,C0650,3,"Average, expected better battery life."
496,P108,C0478,4,Nice design but a bit expensive.
497,P133,C0945,3,"It is okay, nothing special."
498,P127,C0159,2,"Not good, stopped working after a week."
499,P124,C0153,4,"Works well, satisfied with the purchase."
500,P113,C0330,4,"Good, but shipping was a bit slow to Guelma."
501,P135,C0971,1,"Waste of money, totally disappointed."
502,P113,C0075,3,"Average, expected better battery life."
503,P128,C0751,5,Amazing quality for the price. Fast delivery.
504,P118,C0032,3,"Average, expected better battery life."
505,P122,C0448,3,"It is okay, nothing special."
506,P104,C0400,5,"Excellent product, highly recommended!"
507,P121,C0423,1,"Terrible, do not buy this! Very bad quality."
508,P120,C1125,4,"Works well, satisfied with the purchase."
509,P111,C0990,5,Amazing quality for the price. Fast delivery.
510,P109,C0200,5,"Perfect, works exactly as described. Thanks TechStore."
